Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P30622|CLIP1_HUMAN	P30622	CLIP1_HUMAN	CLIP1	1438	Homo sapiens	CAP-Gly domain-containing linker protein 1	1:Experimental evidence at protein level	6.33	1.0000	0.9990	7	4	4	7	4	4	6.783148E7	1.7870218E7	1.7870218E7			
sp|P30626|SORCN_HUMAN	P30626	SORCN_HUMAN	SRI	198	Homo sapiens	Sorcin	1:Experimental evidence at protein level	58.59	1.0000	0.9990	13	13	13	30	30	30	2.3676265E9	2.3676265E9	2.3676265E9	10C(57.0214), 9C(57.0214),10C(57.0214), 9C(57.0214),15C(57.0214), 16C(57.0214),19C(57.0214), 1C(57.0214),2M(15.9949),2M(15.9949),2M(15.9949),2M(15.9949), 6M(15.9949),2M(15.9949), 6M(15.9949),5M(15.9949),5M(15.9949),5M(15.9949),6M(15.9949),6M(15.9949)		
sp|P30711|GSTT1_HUMAN	P30711	GSTT1_HUMAN	GSTT1	240	Homo sapiens	Glutathione S-transferase theta-1	1:Experimental evidence at protein level	26.25	1.0000	0.9990	5	4	4	8	7	7	1.66404896E8	1.66404896E8	1.66404896E8			
sp|P30740|ILEU_HUMAN	P30740	ILEU_HUMAN	SERPINB1	379	Homo sapiens	Leukocyte elastase inhibitor	1:Experimental evidence at protein level	40.11	1.0000	0.9990	14	13	14	31	29	31	5.3723725E8	4.48438368E8	5.3723725E8	N-term(42.0106),N-term(42.0106)		
sp|P30825|CTR1_HUMAN	P30825	CTR1_HUMAN	SLC7A1	629	Homo sapiens	High affinity cationic amino acid transporter 1	1:Experimental evidence at protein level	6.84	1.0000	0.9990	3	2	3	4	3	4	2.600424E7	2.600424E7	2.600424E7			
sp|P30837|AL1B1_HUMAN	P30837	AL1B1_HUMAN	ALDH1B1	517	Homo sapiens	Aldehyde dehydrogenase X, mitochondrial	1:Experimental evidence at protein level	13.73	1.0000	0.9990	7	6	6	13	9	9	7.9600506E8	1.14995856E8	1.14995856E8			
sp|P30838|AL3A1_HUMAN	P30838	AL3A1_HUMAN	ALDH3A1	453	Homo sapiens	Aldehyde dehydrogenase, dimeric NADP-preferring	1:Experimental evidence at protein level	6.84	1.0000	0.9990	2	1	1	3	1	1	1.27111024E8	9188288.0	9188288.0			
sp|P30876|RPB2_HUMAN	P30876	RPB2_HUMAN	POLR2B	1174	Homo sapiens	DNA-directed RNA polymerase II subunit RPB2	1:Experimental evidence at protein level	19.08	1.0000	0.9990	18	18	18	27	27	27	1.64103776E8	1.64103776E8	1.64103776E8	12C(57.0214),2C(57.0214),2C(57.0214),4C(57.0214)		
sp|P31040|SDHA_HUMAN	P31040	SDHA_HUMAN	SDHA	664	Homo sapiens	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1:Experimental evidence at protein level	32.53	1.0000	0.9990	17	17	17	30	30	30	4.88452416E8	4.88452416E8	4.88452416E8	10C(57.0214), 2C(57.0214),14C(57.0214),14C(57.0214),5C(57.0214),5C(57.0214),6C(57.0214),6C(57.0214),6C(57.0214),7C(57.0214),7C(57.0214),9C(57.0214)		
sp|P31146|COR1A_HUMAN	P31146	COR1A_HUMAN	CORO1A	461	Homo sapiens	Coronin-1A	1:Experimental evidence at protein level	29.93	1.0000	0.9990	14	13	13	21	19	19	9.0889984E8	9.0889984E8	9.0889984E8	11C(57.0214),11C(57.0214),11C(57.0214),11C(57.0214),2C(57.0214),2C(57.0214),4C(57.0214),6C(57.0214), 9C(57.0214),6C(57.0214), 9C(57.0214),6C(57.0214), 9C(57.0214)		
sp|P31150|GDIA_HUMAN	P31150	GDIA_HUMAN	GDI1	447	Homo sapiens	Rab GDP dissociation inhibitor alpha	1:Experimental evidence at protein level	74.50	1.0000	0.9990	32	23	32	79	58	79	3.6796119E9	2.65193882E9	3.6796119E9	11M(15.9949),11M(15.9949),11M(15.9949),11M(15.9949),12M(15.9949),12M(15.9949),16M(15.9949),16M(15.9949),16M(15.9949),1M(15.9949),1M(15.9949),1M(15.9949),1M(15.9949),3C(57.0214),3C(57.0214),3C(57.0214),3M(15.9949),3M(15.9949),4C(57.0214),4C(57.0214),4C(57.0214),6C(57.0214),6C(57.0214),6C(57.0214),6C(57.0214),7C(57.0214),7C(57.0214),7C(57.0214),7C(57.0214),8C(57.0214),8C(57.0214),8C(57.0214),8C(57.0214),8C(57.0214),9C(57.0214),9C(57.0214),9C(57.0214),9C(57.0214)		
sp|P31152|MK04_HUMAN	P31152	MK04_HUMAN	MAPK4	587	Homo sapiens	Mitogen-activated protein kinase 4	1:Experimental evidence at protein level	1.70	1.0000	0.9990	1	0	0	2	0	0	4.56065024E8	0	0			
sp|P31153|METK2_HUMAN	P31153	METK2_HUMAN	MAT2A	395	Homo sapiens	S-adenosylmethionine synthase isoform type-2	1:Experimental evidence at protein level	41.77	1.0000	0.9990	14	12	14	29	25	29	1.58959987E9	1.32650803E9	1.58959987E9	2C(57.0214),2C(57.0214),2C(57.0214),8M(15.9949)		
sp|P31321|KAP1_HUMAN	P31321	KAP1_HUMAN	PRKAR1B	381	Homo sapiens	cAMP-dependent protein kinase type I-beta regulatory subunit	1:Experimental evidence at protein level	11.81	1.0000	0.9990	5	2	2	10	3	3	3.21638656E8	0	0			
sp|P31323|KAP3_HUMAN	P31323	KAP3_HUMAN	PRKAR2B	418	Homo sapiens	cAMP-dependent protein kinase type II-beta regulatory subunit	1:Experimental evidence at protein level	13.64	1.0000	0.9990	5	3	3	6	2	2	6.389728E8	1587239.8	1587239.8			
sp|P31350|RIR2_HUMAN	P31350	RIR2_HUMAN	RRM2	389	Homo sapiens	Ribonucleoside-diphosphate reductase subunit M2	1:Experimental evidence at protein level	3.86	1.0000	0.9990	1	0	0	1	0	0	6506295.0	0	0			
sp|P31431|SDC4_HUMAN	P31431	SDC4_HUMAN	SDC4	198	Homo sapiens	Syndecan-4	1:Experimental evidence at protein level	6.57	1.0000	0.9990	1	1	1	1	1	1	7866940.0	7866940.0	7866940.0			
sp|P31483|TIA1_HUMAN	P31483	TIA1_HUMAN	TIA1	386	Homo sapiens	Cytotoxic granule associated RNA binding protein TIA1	1:Experimental evidence at protein level	13.21	1.0000	0.9990	6	3	6	9	4	9	1.84611296E8	3.9933896E7	1.84611296E8			
sp|P31689|DNJA1_HUMAN	P31689	DNJA1_HUMAN	DNAJA1	397	Homo sapiens	DnaJ homolog subfamily A member 1	1:Experimental evidence at protein level	27.20	1.0000	0.9990	6	6	6	18	18	18	8.2376858E8	8.2376858E8	8.2376858E8	16C(57.0214), 17M(15.9949), 19C(57.0214),16C(57.0214), 19C(57.0214),16C(57.0214), 19C(57.0214),16C(57.0214), 19C(57.0214),1C(57.0214),1C(57.0214)		
sp|P31749|AKT1_HUMAN	P31749	AKT1_HUMAN	AKT1	480	Homo sapiens	RAC-alpha serine/threonine-protein kinase	1:Experimental evidence at protein level	14.58	1.0000	0.9990	7	5	7	8	6	8	1.28243216E8	6.3873488E7	1.28243216E8	7C(57.0214)		
sp|P31751|AKT2_HUMAN	P31751	AKT2_HUMAN	AKT2	481	Homo sapiens	RAC-beta serine/threonine-protein kinase	1:Experimental evidence at protein level	10.40	1.0000	0.9990	5	3	3	8	6	6	1.40084912E8	6.9436568E7	6.9436568E7			
sp|P31930|QCR1_HUMAN	P31930	QCR1_HUMAN	UQCRC1	480	Homo sapiens	Cytochrome b-c1 complex subunit 1, mitochondrial	1:Experimental evidence at protein level	50.42	1.0000	0.9990	17	16	17	54	53	54	1.61418406E9	1.61418406E9	1.61418406E9	12C(57.0214),14C(57.0214),14C(57.0214),14C(57.0214),14C(57.0214),14C(57.0214),1M(15.9949),1M(15.9949),1M(15.9949),20C(57.0214),20C(57.0214),20C(57.0214),2C(57.0214),2C(57.0214),3M(15.9949),3M(15.9949),3M(15.9949),5M(15.9949),6C(57.0214),6C(57.0214),6C(57.0214)		
sp|P31937|3HIDH_HUMAN	P31937	3HIDH_HUMAN	HIBADH	336	Homo sapiens	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1:Experimental evidence at protein level	33.93	1.0000	0.9990	10	10	10	27	27	27	1.04006093E9	1.04006093E9	1.04006093E9	11M(15.9949),15C(57.0214),15C(57.0214),1M(15.9949),1M(15.9949), 6M(15.9949),6M(15.9949)		
sp|P31939|PUR9_HUMAN	P31939	PUR9_HUMAN	ATIC	592	Homo sapiens	Bifunctional purine biosynthesis protein ATIC	1:Experimental evidence at protein level	59.63	1.0000	0.9990	28	28	28	59	59	59	1.63106714E9	1.63106714E9	1.63106714E9	11M(15.9949),11M(15.9949),14C(57.0214),14C(57.0214),14C(57.0214),2C(57.0214),2C(57.0214),3M(15.9949),3M(15.9949),3M(15.9949),4C(57.0214),4C(57.0214),4C(57.0214),5C(57.0214),8C(57.0214)		
sp|P31942|HNRH3_HUMAN	P31942	HNRH3_HUMAN	HNRNPH3	346	Homo sapiens	Heterogeneous nuclear ribonucleoprotein H3	1:Experimental evidence at protein level	31.50	1.0000	0.9990	9	8	8	24	22	22	1.22167373E9	8.4658022E8	8.4658022E8	3M(15.9949)		
sp|P31943|HNRH1_HUMAN	P31943	HNRH1_HUMAN	HNRNPH1	449	Homo sapiens	Heterogeneous nuclear ribonucleoprotein H	1:Experimental evidence at protein level	47.44	1.0000	0.9990	17	9	17	67	29	67	1.9676695E9	1.20334963E9	1.9676695E9	15C(57.0214),15C(57.0214),15C(57.0214),15C(57.0214),15C(57.0214),2M(15.9949),2M(15.9949), N-term(42.0106),5C(57.0214),5C(57.0214),5C(57.0214),5C(57.0214),5C(57.0214), 9M(15.9949),5C(57.0214), 9M(15.9949),6C(57.0214),6C(57.0214),6C(57.0214),6C(57.0214),6C(57.0214),6C(57.0214),6M(15.9949),8C(57.0214),8C(57.0214),N-term(42.0106),N-term(42.0106)		
sp|P31946|1433B_HUMAN	P31946	1433B_HUMAN	YWHAB	246	Homo sapiens	14-3-3 protein beta/alpha	1:Experimental evidence at protein level	68.29	1.0000	0.9990	16	9	11	54	25	34	2.42924012E10	1.80678554E9	2.36103885E9	4M(15.9949),4M(15.9949),4M(15.9949),4M(15.9949), 8M(15.9949),N-term(42.0106),N-term(42.0106)		
sp|P31947|1433S_HUMAN	P31947	1433S_HUMAN	SFN	248	Homo sapiens	14-3-3 protein sigma	1:Experimental evidence at protein level	10.48	1.0000	0.9990	3	0	0	12	0	0	2.34376397E10	0	0			
sp|P31948|STIP1_HUMAN	P31948	STIP1_HUMAN	STIP1	543	Homo sapiens	Stress-induced-phosphoprotein 1	1:Experimental evidence at protein level	49.72	1.0000	0.9990	27	27	27	66	66	66	1.35541402E9	1.35541402E9	1.35541402E9	13C(57.0214),13C(57.0214),13C(57.0214),16M(15.9949),16M(15.9949),16M(15.9949), 2M(15.9949),1C(57.0214),1C(57.0214),2C(57.0214), 5C(57.0214),2C(57.0214), 5C(57.0214),2C(57.0214), 5C(57.0214),2M(15.9949),2M(15.9949),2M(15.9949),2M(15.9949),2M(15.9949),8C(57.0214),N-term(42.0106),N-term(42.0106),N-term(42.0106)		
sp|P31949|S10AB_HUMAN	P31949	S10AB_HUMAN	S100A11	105	Homo sapiens	Protein S100-A11	1:Experimental evidence at protein level	17.14	1.0000	0.9990	2	2	2	3	3	3	4.5500492E7	4.5500492E7	4.5500492E7			
sp|P32119|PRDX2_HUMAN	P32119	PRDX2_HUMAN	PRDX2	198	Homo sapiens	Peroxiredoxin-2	1:Experimental evidence at protein level	68.69	1.0000	0.9990	18	17	17	55	49	49	2.5436031E10	1.36322365E10	1.36322365E10	15C(57.0214),15C(57.0214),15C(57.0214),15C(57.0214),15C(57.0214),15C(57.0214),3C(57.0214),3C(57.0214),4C(57.0214),4C(57.0214),4C(57.0214)		
sp|P32121|ARRB2_HUMAN	P32121	ARRB2_HUMAN	ARRB2	409	Homo sapiens	Beta-arrestin-2	1:Experimental evidence at protein level	6.85	1.0000	0.9990	3	2	3	6	4	6	9.5332648E7	3.8961528E7	9.5332648E7	2C(57.0214)		
sp|P32189|GLPK_HUMAN	P32189	GLPK_HUMAN	GK	559	Homo sapiens	Glycerol kinase	1:Experimental evidence at protein level	17.35	1.0000	0.9990	8	1	8	12	1	12	4.6534056E7	1.037385E7	4.6534056E7	1C(57.0214),4C(57.0214),9C(57.0214)		
sp|P32322|P5CR1_HUMAN	P32322	P5CR1_HUMAN	PYCR1	319	Homo sapiens	Pyrroline-5-carboxylate reductase 1, mitochondrial	1:Experimental evidence at protein level	13.17	1.0000	0.9990	3	2	3	3	2	3	1.9181606E7	1.036333E7	1.9181606E7	11C(57.0214)		
sp|P32418|NAC1_HUMAN	P32418	NAC1_HUMAN	SLC8A1	973	Homo sapiens	Sodium/calcium exchanger 1	1:Experimental evidence at protein level	1.44	1.0000	0.9990	1	1	1	1	1	1	1.5008592E7	1.5008592E7	1.5008592E7			
sp|P32455|GBP1_HUMAN	P32455	GBP1_HUMAN	GBP1	592	Homo sapiens	Guanylate-binding protein 1	1:Experimental evidence at protein level	25.84	1.0000	0.9990	17	12	17	27	17	27	3.7601872E8	2.28616352E8	3.7601872E8	4M(15.9949), 6C(57.0214),4M(15.9949), 6C(57.0214),6C(57.0214),6C(57.0214),6C(57.0214)		
sp|P32456|GBP2_HUMAN	P32456	GBP2_HUMAN	GBP2	591	Homo sapiens	Guanylate-binding protein 2	1:Experimental evidence at protein level	11.17	1.0000	0.9990	6	2	3	12	2	4	2.9259904E8	1.6941156E7	2.6214054E7			
sp|P32856|STX2_HUMAN	P32856	STX2_HUMAN	STX2	288	Homo sapiens	Syntaxin-2	1:Experimental evidence at protein level	6.94	1.0000	0.9990	2	2	2	4	4	4	4.927932E7	4.927932E7	4.927932E7			
sp|P32969|RL9_HUMAN	P32969	RL9_HUMAN	RPL9	192	Homo sapiens	Large ribosomal subunit protein uL6	1:Experimental evidence at protein level	43.75	1.0000	0.9990	7	7	7	16	16	16	8.9704909E8	8.9704909E8	8.9704909E8	3C(57.0214),3C(57.0214),3C(57.0214),3C(57.0214),3C(57.0214), 9M(15.9949),3C(57.0214), 9M(15.9949),3C(57.0214), 9M(15.9949)		
sp|P33121|ACSL1_HUMAN	P33121	ACSL1_HUMAN	ACSL1	698	Homo sapiens	Long-chain-fatty-acid--CoA ligase 1	1:Experimental evidence at protein level	3.58	1.0000	0.9990	4	2	4	9	3	9	7.0913896E7	2.1962904E7	7.0913896E7	6M(15.9949)		
sp|P33151|CADH5_HUMAN	P33151	CADH5_HUMAN	CDH5	784	Homo sapiens	Cadherin-5	1:Experimental evidence at protein level	1.66	1.0000	0.9990	1	1	1	1	1	1	0	0	0			
sp|P33176|KINH_HUMAN	P33176	KINH_HUMAN	KIF5B	963	Homo sapiens	Kinesin-1 heavy chain	1:Experimental evidence at protein level	27.10	1.0000	0.9990	25	19	25	31	24	31	3.61360256E8	1.97785824E8	3.61360256E8	3C(57.0214)		
sp|P33240|CSTF2_HUMAN	P33240	CSTF2_HUMAN	CSTF2	577	Homo sapiens	Cleavage stimulation factor subunit 2	1:Experimental evidence at protein level	1.56	1.0000	0.9990	1	1	1	1	1	1	1.0100742E7	1.0100742E7	1.0100742E7			
sp|P33316|DUT_HUMAN	P33316	DUT_HUMAN	DUT	252	Homo sapiens	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	1:Experimental evidence at protein level	16.27	1.0000	0.9990	4	4	4	6	6	6	6.8532768E7	6.8532768E7	6.8532768E7			
sp|P33402|GCYA2_HUMAN	P33402	GCYA2_HUMAN	GUCY1A2	732	Homo sapiens	Guanylate cyclase soluble subunit alpha-2	1:Experimental evidence at protein level	1.91	1.0000	0.9990	1	1	1	2	2	2	4030323.5	4030323.5	4030323.5			
sp|P33991|MCM4_HUMAN	P33991	MCM4_HUMAN	MCM4	863	Homo sapiens	DNA replication licensing factor MCM4	1:Experimental evidence at protein level	1.27	1.0000	0.9990	1	1	1	1	1	1	6211191.0	6211191.0	6211191.0			
sp|P33992|MCM5_HUMAN	P33992	MCM5_HUMAN	MCM5	734	Homo sapiens	DNA replication licensing factor MCM5	1:Experimental evidence at protein level	2.18	1.0000	0.9990	2	2	2	1	1	1	6.91114E7	6.91114E7	6.91114E7			
sp|P33993|MCM7_HUMAN	P33993	MCM7_HUMAN	MCM7	719	Homo sapiens	DNA replication licensing factor MCM7	1:Experimental evidence at protein level	2.23	1.0000	0.9990	1	1	1	1	1	1	0	0	0			
sp|P34741|SDC2_HUMAN	P34741	SDC2_HUMAN	SDC2	201	Homo sapiens	Syndecan-2	1:Experimental evidence at protein level	7.46	1.0000	0.9990	1	1	1	1	1	1	7705154.0	7705154.0	7705154.0			
sp|P34896|GLYC_HUMAN	P34896	GLYC_HUMAN	SHMT1	483	Homo sapiens	Serine hydroxymethyltransferase, cytosolic	1:Experimental evidence at protein level	21.95	1.0000	0.9990	9	8	8	11	10	10	1.40308304E8	1.1350384E8	1.1350384E8	5C(57.0214), 9C(57.0214),8C(57.0214),8C(57.0214),9C(57.0214)		
sp|P34897|GLYM_HUMAN	P34897	GLYM_HUMAN	SHMT2	504	Homo sapiens	Serine hydroxymethyltransferase, mitochondrial	1:Experimental evidence at protein level	29.37	1.0000	0.9990	13	12	13	20	19	20	2.52527024E8	2.52527024E8	2.52527024E8	15C(57.0214),2M(15.9949),3C(57.0214)		
sp|P34913|HYES_HUMAN	P34913	HYES_HUMAN	EPHX2	555	Homo sapiens	Bifunctional epoxide hydrolase 2	1:Experimental evidence at protein level	34.59	1.0000	0.9990	13	13	13	22	22	22	3.35252416E8	3.35252416E8	3.35252416E8	17C(57.0214),6C(57.0214),8C(57.0214),8C(57.0214)		
sp|P34931|HS71L_HUMAN	P34931	HS71L_HUMAN	HSPA1L	641	Homo sapiens	Heat shock 70 kDa protein 1-like	1:Experimental evidence at protein level	21.37	1.0000	0.9990	11	0	0	47	0	0	8.5173202E9	0	0			
sp|P34932|HSP74_HUMAN	P34932	HSP74_HUMAN	HSPA4	840	Homo sapiens	Heat shock 70 kDa protein 4	1:Experimental evidence at protein level	53.10	1.0000	0.9990	38	36	38	102	98	102	1.44654669E9	1.44654669E9	1.44654669E9	10C(57.0214),10M(15.9949),10M(15.9949),10M(15.9949),10M(15.9949),10M(15.9949),11C(57.0214),11C(57.0214),11C(57.0214),11C(57.0214),11C(57.0214),11C(57.0214),11C(57.0214),12C(57.0214),12C(57.0214),12C(57.0214), 6C(57.0214),12C(57.0214), 6C(57.0214),12C(57.0214), 6C(57.0214),12C(57.0214), 6C(57.0214),12C(57.0214), 6C(57.0214),13C(57.0214),13C(57.0214),13C(57.0214), 3M(15.9949),13C(57.0214), 3M(15.9949),1C(57.0214), 5C(57.0214),1M(15.9949),2M(15.9949),4M(15.9949),4M(15.9949),4M(15.9949), 5C(57.0214),4M(15.9949), 5C(57.0214),5C(57.0214),8C(57.0214),8C(57.0214)		
sp|P34949|MPI_HUMAN	P34949	MPI_HUMAN	MPI	423	Homo sapiens	Mannose-6-phosphate isomerase	1:Experimental evidence at protein level	25.30	1.0000	0.9990	6	6	6	13	13	13	1.47470304E8	1.47470304E8	1.47470304E8	3C(57.0214), 6C(57.0214), 9C(57.0214),3C(57.0214), 6C(57.0214), 9C(57.0214),6C(57.0214),6C(57.0214)		
sp|P35030|TRY3_HUMAN	P35030	TRY3_HUMAN	PRSS3	304	Homo sapiens	Trypsin-3	1:Experimental evidence at protein level	4.28	1.0000	0.9990	1	1	1	1	1	1	7434021.0	7434021.0	7434021.0			
sp|P35052|GPC1_HUMAN	P35052	GPC1_HUMAN	GPC1	558	Homo sapiens	Glypican-1	1:Experimental evidence at protein level	27.24	1.0000	0.9990	11	11	11	13	13	13	1.70026784E8	1.70026784E8	1.70026784E8	10C(57.0214),15C(57.0214)		
sp|P35080|PROF2_HUMAN	P35080	PROF2_HUMAN	PFN2	140	Homo sapiens	Profilin-2	1:Experimental evidence at protein level	37.86	1.0000	0.9990	6	6	6	14	14	14	9.8084486E8	9.8084486E8	9.8084486E8	9C(57.0214)		
sp|P35219|CAH8_HUMAN	P35219	CAH8_HUMAN	CA8	290	Homo sapiens	Carbonic anhydrase-related protein	1:Experimental evidence at protein level	7.24	1.0000	0.9990	2	2	2	3	3	3	1.4697935E7	1.4697935E7	1.4697935E7			
sp|P35221|CTNA1_HUMAN	P35221	CTNA1_HUMAN	CTNNA1	906	Homo sapiens	Catenin alpha-1	1:Experimental evidence at protein level	37.97	1.0000	0.9990	33	21	22	53	32	34	1.70823795E9	3.96487616E8	3.96487616E8	11C(57.0214),11C(57.0214),11C(57.0214),11C(57.0214), 6C(57.0214),11C(57.0214), 6C(57.0214),12C(57.0214),12C(57.0214),1C(57.0214),1C(57.0214),3M(15.9949),9C(57.0214),9C(57.0214),9C(57.0214),N-term(42.0106)		
sp|P35222|CTNB1_HUMAN	P35222	CTNB1_HUMAN	CTNNB1	781	Homo sapiens	Catenin beta-1	1:Experimental evidence at protein level	46.61	1.0000	0.9990	28	23	28	84	71	84	2.63417395E9	2.28854554E9	2.63417395E9	13C(57.0214),13C(57.0214),13C(57.0214),1M(15.9949),1M(15.9949),1M(15.9949), 8C(57.0214),1M(15.9949), 8C(57.0214),3M(15.9949),4M(15.9949),5C(57.0214),5C(57.0214),5C(57.0214),5C(57.0214),5C(57.0214),5C(57.0214),5C(57.0214),5C(57.0214),5C(57.0214),5C(57.0214),7C(57.0214),7C(57.0214),7C(57.0214),7C(57.0214),7M(15.9949),8C(57.0214),8C(57.0214),8C(57.0214),8C(57.0214),9C(57.0214),9C(57.0214),9C(57.0214)		
sp|P35226|BMI1_HUMAN	P35226	BMI1_HUMAN	BMI1	326	Homo sapiens	Polycomb complex protein BMI-1	1:Experimental evidence at protein level	3.37	1.0000	0.9990	1	1	1	1	1	1	5978985.0	5978985.0	5978985.0	2C(57.0214), 5C(57.0214)		
sp|P35232|PHB1_HUMAN	P35232	PHB1_HUMAN	PHB1	272	Homo sapiens	Prohibitin 1	1:Experimental evidence at protein level	62.13	1.0000	0.9990	15	15	15	27	27	27	1.61870413E9	1.61870413E9	1.61870413E9	26C(57.0214)		
sp|P35237|SPB6_HUMAN	P35237	SPB6_HUMAN	SERPINB6	376	Homo sapiens	Serpin B6	1:Experimental evidence at protein level	47.34	1.0000	0.9990	16	15	16	47	44	47	1.98576755E9	1.98576755E9	1.98576755E9	2C(57.0214),2C(57.0214),2C(57.0214),2C(57.0214),2C(57.0214),2C(57.0214),2C(57.0214),2C(57.0214),4M(15.9949),7C(57.0214),7C(57.0214),7C(57.0214)		
sp|P35240|MERL_HUMAN	P35240	MERL_HUMAN	NF2	595	Homo sapiens	Merlin	1:Experimental evidence at protein level	4.54	1.0000	0.9990	2	2	2	2	2	2	6139663.5	6139663.5	6139663.5			
sp|P35241|RADI_HUMAN	P35241	RADI_HUMAN	RDX	583	Homo sapiens	Radixin	1:Experimental evidence at protein level	37.91	1.0000	0.9990	31	17	19	106	40	42	1.23751158E10	1.71363853E9	1.90344038E9	4M(15.9949), 5M(15.9949),9M(15.9949)		
sp|P35244|RFA3_HUMAN	P35244	RFA3_HUMAN	RPA3	121	Homo sapiens	Replication protein A 14 kDa subunit	1:Experimental evidence at protein level	59.50	1.0000	0.9990	5	5	5	7	7	7	2.9463248E8	2.9463248E8	2.9463248E8	15C(57.0214),15C(57.0214),15C(57.0214), 5M(15.9949),5C(57.0214),N-term(42.0106),N-term(42.0106)		
sp|P35249|RFC4_HUMAN	P35249	RFC4_HUMAN	RFC4	363	Homo sapiens	Replication factor C subunit 4	1:Experimental evidence at protein level	2.48	1.0000	0.9990	2	2	2	1	1	1	6.6926061E8	6.6926061E8	6.6926061E8			
sp|P35250|RFC2_HUMAN	P35250	RFC2_HUMAN	RFC2	354	Homo sapiens	Replication factor C subunit 2	1:Experimental evidence at protein level	4.80	1.0000	0.9990	1	1	1	1	1	1	8715790.0	8715790.0	8715790.0			
sp|P35251|RFC1_HUMAN	P35251	RFC1_HUMAN	RFC1	1148	Homo sapiens	Replication factor C subunit 1	1:Experimental evidence at protein level	2.00	1.0000	0.9990	2	2	2	2	2	2	1750769.0	1750769.0	1750769.0			
sp|P35268|RL22_HUMAN	P35268	RL22_HUMAN	RPL22	128	Homo sapiens	Large ribosomal subunit protein eL22	1:Experimental evidence at protein level	28.12	1.0000	0.9990	3	3	3	4	4	4	8.4521536E8	8.4521536E8	8.4521536E8			
sp|P35269|T2FA_HUMAN	P35269	T2FA_HUMAN	GTF2F1	517	Homo sapiens	General transcription factor IIF subunit 1	1:Experimental evidence at protein level	5.22	1.0000	0.9990	2	2	2	3	3	3	4.3334808E7	4.3334808E7	4.3334808E7	N-term(42.0106)		
sp|P35270|SPRE_HUMAN	P35270	SPRE_HUMAN	SPR	261	Homo sapiens	Sepiapterin reductase	1:Experimental evidence at protein level	18.39	1.0000	0.9990	3	3	3	5	5	5	8.6263704E7	8.6263704E7	8.6263704E7	9C(57.0214),9C(57.0214)		
sp|P35442|TSP2_HUMAN	P35442	TSP2_HUMAN	THBS2	1172	Homo sapiens	Thrombospondin-2	1:Experimental evidence at protein level	1.19	1.0000	0.9990	1	0	0	2	0	0	6.437492E7	0	0			
sp|P35443|TSP4_HUMAN	P35443	TSP4_HUMAN	THBS4	961	Homo sapiens	Thrombospondin-4	1:Experimental evidence at protein level	1.56	1.0000	0.9990	1	1	1	2	2	2	1.9761808E7	1.9761808E7	1.9761808E7			
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	43.98	1.0000	0.9990	17	16	16	29	29	29	5.1098048E8	5.1098048E8	5.1098048E8	15M(15.9949),1M(15.9949)		
sp|P35542|SAA4_HUMAN	P35542	SAA4_HUMAN	SAA4	130	Homo sapiens	Serum amyloid A-4 protein	1:Experimental evidence at protein level	14.62	1.0000	0.9990	2	2	2	2	2	2	5039842.0	5039842.0	5039842.0	9M(15.9949)		
sp|P35555|FBN1_HUMAN	P35555	FBN1_HUMAN	FBN1	2871	Homo sapiens	Fibrillin-1	1:Experimental evidence at protein level	0.87	1.0000	0.9990	2	2	2	2	2	2	1.3395872E7	1.3395872E7	1.3395872E7	4C(57.0214),6C(57.0214), 9C(57.0214)		
sp|P35573|GDE_HUMAN	P35573	GDE_HUMAN	AGL	1532	Homo sapiens	Glycogen debranching enzyme	1:Experimental evidence at protein level	34.86	1.0000	0.9990	41	41	41	73	73	73	5.9089101E8	5.9089101E8	5.9089101E8	12C(57.0214),12C(57.0214),12C(57.0214),12C(57.0214),16C(57.0214), 17C(57.0214),16C(57.0214), 17C(57.0214),16C(57.0214), 17C(57.0214),2C(57.0214),2C(57.0214),3C(57.0214),3C(57.0214),3C(57.0214), 4C(57.0214),4C(57.0214),4C(57.0214),4C(57.0214),6C(57.0214),6C(57.0214),6C(57.0214),6M(15.9949),6M(15.9949),8C(57.0214),8C(57.0214),8C(57.0214), 9C(57.0214),8C(57.0214), 9C(57.0214)		
