Protein.Group	Protein.Names	Genes	First.Protein.Description	S:\Proteomics\CMB\CMB-1515\T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d	S:\Proteomics\CMB\CMB-1515\T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d	S:\Proteomics\CMB\CMB-1515\T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d	S:\Proteomics\CMB\CMB-1515\T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d	S:\Proteomics\CMB\CMB-1515\T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d	S:\Proteomics\CMB\CMB-1515\T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d
P04264;P13647;Q5XKE5;P04259;P02538;P05787;P48668	K2C1_HUMAN;K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C79_HUMAN;K2C8_HUMAN	KRT1;KRT5;KRT6A;KRT6B;KRT6C;KRT79;KRT8	Keratin, type II cytoskeletal 6A	326806	986764	1.25752e+06	1.01593e+06	549061	880045
P04264;P35908	K22E_HUMAN;K2C1_HUMAN	KRT1;KRT2	Keratin, type II cytoskeletal 1	1.94251e+06	1.04803e+07	4.46638e+06	1.05727e+07	6.30619e+06	5.83277e+06
P04264;P35908;P13647;Q7Z794;P04259;P02538;P12035;Q01546;P05787;P48668;O95678	K22E_HUMAN;K22O_HUMAN;K2C1B_HUMAN;K2C1_HUMAN;K2C3_HUMAN;K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C75_HUMAN;K2C8_HUMAN	KRT1;KRT2;KRT3;KRT5;KRT6A;KRT6B;KRT6C;KRT75;KRT76;KRT77;KRT8	Keratin, type II cytoskeletal 75	659898	2.25308e+06	1.78377e+06	2.42662e+06	1.52515e+06	2.09067e+06
P04264;P35908;P13647;Q7Z794;Q5XKE5;P04259;P02538;P12035;Q01546;P05787;P48668;O95678	K22E_HUMAN;K22O_HUMAN;K2C1B_HUMAN;K2C1_HUMAN;K2C3_HUMAN;K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C75_HUMAN;K2C79_HUMAN;K2C8_HUMAN	KRT1;KRT2;KRT3;KRT5;KRT6A;KRT6B;KRT6C;KRT75;KRT76;KRT77;KRT79;KRT8	Keratin, type II cytoskeletal 75	166898	1.09005e+06	807236	784991	357896	944369
P04264;P35908;Q7Z794	K22E_HUMAN;K2C1B_HUMAN;K2C1_HUMAN	KRT1;KRT2;KRT77	Keratin, type II cytoskeletal 1	9972.98	22402.8	34165	16778.3	29067.8	26843.7
P04275	VWF_HUMAN	VWF	von Willebrand factor	2856.99					
P04279;Q02383	SEMG1_HUMAN;SEMG2_HUMAN	SEMG1;SEMG2	Semenogelin-1			1019.41	21215.6		3460.43
P04406	G3P_HUMAN	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	30000	132021	118308	93322.6	77345.1	152929
P04406;O14556	G3PT_HUMAN;G3P_HUMAN	GAPDH;GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	50964.8	148803	155516	195241	110381	235684
P04439	HLAA_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain	8107.61	6739.52	6250.33		10450.1	
P04439;P01889	HLAA_HUMAN;HLAB_HUMAN	HLA-A;HLA-B	HLA class I histocompatibility antigen, B alpha chain	3529.11	5551.06	5306.15		8879.02	
P04632;Q96L46	CPNS1_HUMAN;CPNS2_HUMAN	CAPNS1;CAPNS2	Calpain small subunit 1	6970.38	14308.6	10875.1	13815.9	9874.68	14095
P04792	HSPB1_HUMAN	HSPB1	Heat shock protein beta-1	70316.9	35901.6	68896.9	76863.9	78689.1	47933.7
P04843	RPN1_HUMAN	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	5537.72	3981.84	4934.29		2878.82	3391.8
P04899	GNAI2_HUMAN	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2	19068.2	5835.34	7970.77	10583.9	12893.5	4983.67
P04899;P08754;P63096	GNAI1_HUMAN;GNAI2_HUMAN;GNAI3_HUMAN	GNAI1;GNAI2;GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-2	9440.75	7531.13	4561.52	6193.95	6929.08	4153.52
P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1	H2A1B_HUMAN;H2A1C_HUMAN;H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2A3_HUMAN;H2AJ_HUMAN	H2AC12;H2AC14;H2AC17;H2AC19;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8;H2AJ	Histone H2A type 1-B/E	81564.7	4812.72	27214.4	76113.7	56629.1	19852.6
P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1;P0C0S5;Q71UI9;Q96QV6	H2A1A_HUMAN;H2A1B_HUMAN;H2A1C_HUMAN;H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2A3_HUMAN;H2AJ_HUMAN;H2AV_HUMAN;H2AZ_HUMAN	H2AC1;H2AC12;H2AC14;H2AC17;H2AC19;H2AC20;H2AC25;H2AC6;H2AC7;H2AC8;H2AJ;H2AZ1;H2AZ2	Histone H2A type 1-B/E	32565	58359.5	198717	194016	31995.1	
P04908;Q7L7L0;Q93077	H2A1B_HUMAN;H2A1C_HUMAN;H2A3_HUMAN	H2AC25;H2AC6;H2AC8	Histone H2A type 1-B/E	7354.17		5512.4	7094.51	5459.02	1899.07
P05023	AT1A1_HUMAN	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	3858.72		2297.75		1618.53	
P05023;P13637	AT1A1_HUMAN;AT1A3_HUMAN	ATP1A1;ATP1A3	Sodium/potassium-transporting ATPase subunit alpha-1	2882.24				2453.45	
P05089	ARGI1_HUMAN	ARG1	Arginase-1	13247.5	146707	166305	86461	81182.5	138349
P05090	APOD_HUMAN	APOD	Apolipoprotein D	20375.1	57975.1	101706	59157.1	36585.3	71331.9
P05091	ALDH2_HUMAN	ALDH2	Aldehyde dehydrogenase, mitochondrial	5355.11			4942.96		
P05109	S10A8_HUMAN	S100A8	Protein S100-A8	28104.1	220776	116473	125366	83790.1	102385
P05198	IF2A_HUMAN	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1	1596.55					2276.75
P05387	RLA2_HUMAN	RPLP2	Large ribosomal subunit protein P2		3165.06			1288.84	
P05388	RLA0_HUMAN	RPLP0	Large ribosomal subunit protein uL10	2443.75		2892.43	4780.04	2894.4	2371.62
P05388;Q8NHW5	RLA0L_HUMAN;RLA0_HUMAN	RPLP0;RPLP0P6	Large ribosomal subunit protein uL10	3866.02	2665.07	2316.96	3245.27	3087.45	2087.96
P05413	FABPH_HUMAN	FABP3	Fatty acid-binding protein, heart	6500.63		8197.51	37618.4	8764.56	6776.44
P05413;P02689	FABPH_HUMAN;MYP2_HUMAN	FABP3;PMP2	Myelin P2 protein			11745.4	6545.43		
P05556	ITB1_HUMAN	ITGB1	Integrin beta-1	6893.57	5127.01	9007.47	4120.75	9802.07	3208.7
P05814	CASB_HUMAN	CSN2	Beta-casein		3266.82	30719	920196		
P05976	MYL1_HUMAN	MYL1	Myosin light chain 1/3, skeletal muscle isoform		5705.92	2541.87	6724.78	3723.86	4873.96
P05976;P08590	MYL1_HUMAN;MYL3_HUMAN	MYL1;MYL3	Myosin light chain 1/3, skeletal muscle isoform	7923.43	3230.49	5881.24			
P05997	CO5A2_HUMAN	COL5A2	Collagen alpha-2(V) chain	20766.5	6155.05	11335.7	13333.6	23922.4	2704.94
P06312	KV401_HUMAN	IGKV4-1	Immunoglobulin kappa variable 4-1	698.832	2144.29	3958.51	2996.86	2978.94	988.234
P06396	GELS_HUMAN	GSN	Gelsolin	48726.5	25154.4	47522.9	45961.5	53179.6	19535.3
P06576	ATPB_HUMAN	ATP5F1B	ATP synthase subunit beta, mitochondrial	371046	12247.9	202659	22957.2	773869	17878.5
P06702	S10A9_HUMAN	S100A9	Protein S100-A9	30749.9	239623	97048.8	115728	117055	132818
P06703	S10A6_HUMAN	S100A6	Protein S100-A6	263025	72469.3	153086	266244	225726	112972
P06727	APOA4_HUMAN	APOA4	Apolipoprotein A-IV	3797.32				1575.41	
P06732	KCRM_HUMAN	CKM	Creatine kinase M-type		26809.1	3882	12479.6	4568.67	
P06733	ENOA_HUMAN	ENO1	Alpha-enolase	21612.7	29156.1	36935.2	36959.5	29398.3	18193.1
P06733;P09104;P13929	ENOA_HUMAN;ENOB_HUMAN;ENOG_HUMAN	ENO1;ENO2;ENO3	Alpha-enolase	31514.3	29966.5	38900	56505.9	36877.8	21043.4
P06744	G6PI_HUMAN	GPI	Glucose-6-phosphate isomerase	9242.04	6812.76	6336.15	9775.57	13578.8	6052.59
P07195	LDHB_HUMAN	LDHB	L-lactate dehydrogenase B chain	18543.8		6683.33	15996.2	7294.88	8325.19
P07196	NFL_HUMAN	NEFL	Neurofilament light polypeptide	8231.65					
P07196;P07197;Q16352	AINX_HUMAN;NFL_HUMAN;NFM_HUMAN	INA;NEFL;NEFM	Neurofilament light polypeptide	7256.04					
P07197	NFM_HUMAN	NEFM	Neurofilament medium polypeptide	3542.86					
P07237	PDIA1_HUMAN	P4HB	Protein disulfide-isomerase	842.875	2029.13	707.403	3418.67	2181.06	1950.95
P07305	H10_HUMAN	H1-0	Histone H1.0	40139.1	7150.03	30483.1	45013.7	37684.7	8111.32
P07339	CATD_HUMAN	CTSD	Cathepsin D	21480.8	103203	78391.7	59252.9	47105.3	125580
P07355	ANXA2_HUMAN	ANXA2	Annexin A2	25585.2	70896	70041.3	53977.9	39415.8	45207.7
P07355;A6NMY6	ANXA2_HUMAN;AXA2L_HUMAN	ANXA2;ANXA2P2	Putative annexin A2-like protein	91152.7	93466.3	105374	90924.7	84695.8	98875.3
P07357	CO8A_HUMAN	C8A	Complement component C8 alpha chain	13854.4		5895.82		6995.02	
P07358	CO8B_HUMAN	C8B	Complement component C8 beta chain	17725.7		4286.71		4659.04	
P07360	CO8G_HUMAN	C8G	Complement component C8 gamma chain	14883.1		5101.15		7373.77	
P07384	CAN1_HUMAN	CAPN1	Calpain-1 catalytic subunit	19937.7	34956.1	36863.1	34443.9	21680.5	68015.7
P07437	TBB5_HUMAN	TUBB	Tubulin beta chain	18346.3	12901.2	27143.6	37976.6	40281.3	17013
P07437;P68371	TBB4B_HUMAN;TBB5_HUMAN	TUBB;TUBB4B	Tubulin beta chain	7704.68	13244	20994.7	25823.2	18295.9	13133
P07437;P68371;Q13509	TBB3_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	TUBB;TUBB3;TUBB4B	Tubulin beta chain	8471.56	13234.1	12112.1	16564.6	17717.2	
P07437;P68371;Q13509;Q13885;Q9BVA1	TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	TUBB;TUBB2A;TUBB2B;TUBB3;TUBB4B	Tubulin beta chain	39694.8	21342	37056.1	23925.5	30968	13420.4
P07437;P68371;Q13885;Q9BVA1	TBB2A_HUMAN;TBB2B_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	TUBB;TUBB2A;TUBB2B;TUBB4B	Tubulin beta chain	17068	5392.4	10639.8	10412.8	11648.7	
P07437;Q13509;Q13885;Q9BVA1	TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB5_HUMAN	TUBB;TUBB2A;TUBB2B;TUBB3	Tubulin beta chain	13564.1	10177.2	10939.7	29216.8	15857.6	16906.4
P07437;Q9BUF5;P68371;Q13509;Q13885;Q9BVA1	TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN	TUBB;TUBB2A;TUBB2B;TUBB3;TUBB4B;TUBB6	Tubulin beta chain	19013	13775.1	17325	27864.4	13367	9070.22
P07437;Q9BUF5;P68371;Q13885;Q9BVA1	TBB2A_HUMAN;TBB2B_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN	TUBB;TUBB2A;TUBB2B;TUBB4B;TUBB6	Tubulin beta chain	11570.1	7550.58	1525.22	3945.16	8455.03	5936.61
P07477	TRY1_HUMAN	PRSS1	Serine protease 1	1.68454e+06	4.07886e+06	2.37207e+06	5.63144e+06	3.54211e+06	3.44135e+06
P07498	CASK_HUMAN	CSN3	Kappa-casein			5647.15	545795		
P07585	PGS2_HUMAN	DCN	Decorin	37689.7	14827	2209.55	62467	3331.07	
P07737	PROF1_HUMAN	PFN1	Profilin-1	34020.6	44105.7	44447.7	62203.9	46601.5	29907.9
P07814	SYEP_HUMAN	EPRS1	Bifunctional glutamate/proline--tRNA ligase			3709.89		1858.74	
P07858	CATB_HUMAN	CTSB	Cathepsin B	5033.32	22518.4	10041	7021.97	9227.66	59596.9
P07900	HS90A_HUMAN	HSP90AA1	Heat shock protein HSP 90-alpha	12776.9	14215.6	11231.9	11972.4	12504.4	8690.91
P07910;B2RXH8;B7ZW38;O60812;P0DMR1	HNRC1_HUMAN;HNRC2_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN;HNRPC_HUMAN	HNRNPC;HNRNPCL1;HNRNPCL2;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 2	3399.93			5906.98	5025.46	
P07911	UROM_HUMAN	UMOD	Uromodulin	2043.87	21683.9	9800.51	15536.8	11369.8	10777.9
P07942	LAMB1_HUMAN	LAMB1	Laminin subunit beta-1	6471				5678.83	
P07951	TPM2_HUMAN	TPM2	Tropomyosin beta chain	55525.2	22614.6	47835	44210.2	58971.9	20395.8
P07951;P09493	TPM1_HUMAN;TPM2_HUMAN	TPM1;TPM2	Tropomyosin beta chain	235469	93843	245454	196879	292705	119151
P07951;P09493;P67936;P06753	TPM1_HUMAN;TPM2_HUMAN;TPM3_HUMAN;TPM4_HUMAN	TPM1;TPM2;TPM3;TPM4	Tropomyosin alpha-3 chain	369473	137444	330846	226377	281196	130839
P07951;P67936	TPM2_HUMAN;TPM4_HUMAN	TPM2;TPM4	Tropomyosin beta chain	17155.8	23718.8	55085.4	49019.3	80763.1	45508.7
P07951;P67936;P06753	TPM2_HUMAN;TPM3_HUMAN;TPM4_HUMAN	TPM2;TPM3;TPM4	Tropomyosin alpha-3 chain	9163.14		2662.47			
P07996	TSP1_HUMAN	THBS1	Thrombospondin-1	9289.28	15609.4	28842.8	2834.29	50516.3	3622.88
P07996;P35442	TSP1_HUMAN;TSP2_HUMAN	THBS1;THBS2	Thrombospondin-1	2994.84	5389.11	2816.77		2892.47	
P08123	CO1A2_HUMAN	COL1A2	Collagen alpha-2(I) chain	2.58707e+06	1.13056e+06	1.7356e+06	2.99443e+06	2.82432e+06	383307
P08133	ANXA6_HUMAN	ANXA6	Annexin A6	21265.1	6443.35	23906.4	20056.7	27739.1	17236.4
P08238	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta	13055	24191.1	12917.5	15276.8	15903.4	6028.73
P08238;P07900	HS90A_HUMAN;HS90B_HUMAN	HSP90AA1;HSP90AB1	Heat shock protein HSP 90-alpha	13752.8	12934.8	6109.77	17858.8	9038.57	8929
P08238;P07900;Q58FG1	HS904_HUMAN;HS90A_HUMAN;HS90B_HUMAN	HSP90AA1;HSP90AA4P;HSP90AB1	Heat shock protein HSP 90-alpha	3402.37		8016.38	8223.93	5400.1	4687.82
P08246	ELNE_HUMAN	ELANE	Neutrophil elastase		11306.5	5040.97		1783.13	9157.39
P08294	SODE_HUMAN	SOD3	Extracellular superoxide dismutase [Cu-Zn]	30854	9092.81	18186.3	8348.2	25451.2	3224.12
P08493	MGP_HUMAN	MGP	Matrix Gla protein	5024.53		4937.91		8058.43	
P08571	CD14_HUMAN	CD14	Monocyte differentiation antigen CD14		1389.04		2162.89		
P08572	CO4A2_HUMAN	COL4A2	Collagen alpha-2(IV) chain	768512	54389.2	280507	259876	397126	165347
P08603	CFAH_HUMAN	CFH	Complement factor H	5680.8	4450.45	8465.84		7690.47	
P08603;Q02985	CFAH_HUMAN;FHR3_HUMAN	CFH;CFHR3	Complement factor H	6289.86		6501.24		5185.6	
P08603;Q03591	CFAH_HUMAN;FHR1_HUMAN	CFH;CFHR1	Complement factor H	10316.1		13182.7	5738.25	18275.4	
P08648	ITA5_HUMAN	ITGA5	Integrin alpha-5	22540.4			25180.3		6129.3
P08670	VIME_HUMAN	VIM	Vimentin	323652	185531	427688	268741	587445	102518
P08670;P13647;Q8N1N4;Q5XKE5;P04259;P78386;P02538;P12035;Q01546;P05787;Q9NSB2;P48668;O95678;O43790	K22O_HUMAN;K2C3_HUMAN;K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C75_HUMAN;K2C78_HUMAN;K2C79_HUMAN;K2C8_HUMAN;KRT84_HUMAN;KRT85_HUMAN;KRT86_HUMAN;VIME_HUMAN	KRT3;KRT5;KRT6A;KRT6B;KRT6C;KRT75;KRT76;KRT78;KRT79;KRT8;KRT84;KRT85;KRT86;VIM	Keratin, type II cuticular Hb6	393353	1.87749e+06	2.23656e+06	1.52854e+06	1.54892e+06	2.38997e+06
P08670;P17661	DESM_HUMAN;VIME_HUMAN	DES;VIM	Vimentin	276022	228265	191800	160886	233693	78400.2
P08670;P17661;P07196;P07197;P12036;Q16352	AINX_HUMAN;DESM_HUMAN;NFH_HUMAN;NFL_HUMAN;NFM_HUMAN;VIME_HUMAN	DES;INA;NEFH;NEFL;NEFM;VIM	Neurofilament light polypeptide	236895	125289	281744	192972	288466	62211.5
P08670;P17661;P41219;P05787	DESM_HUMAN;K2C8_HUMAN;PERI_HUMAN;VIME_HUMAN	DES;KRT8;PRPH;VIM	Keratin, type II cytoskeletal 8	7410	59502.3	90901.9	83405.8	119420	38916.8
P08670;P17661;P41219;P05787;Q9NSB2	DESM_HUMAN;K2C8_HUMAN;KRT84_HUMAN;PERI_HUMAN;VIME_HUMAN	DES;KRT8;KRT84;PRPH;VIM	Keratin, type II cytoskeletal 8	170214	133687	168713	185269	228968	80784.7
P08670;P41219	PERI_HUMAN;VIME_HUMAN	PRPH;VIM	Vimentin	55858.4	46929.6	69006.8	37377.4	99865.5	22083
P08727	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19	2834.66	9018.39	50108.8	16612.9	21250	38956.7
P08758	ANXA5_HUMAN	ANXA5	Annexin A5	137177	51112.5	59178.1	93773.8	94555.3	41190.5
P08779	K1C16_HUMAN	KRT16	Keratin, type I cytoskeletal 16	56781.1	632716	1.61402e+06	254987	696574	1.53968e+06
P08779;P02533	K1C14_HUMAN;K1C16_HUMAN	KRT14;KRT16	Keratin, type I cytoskeletal 14	156103	970437	1.40498e+06	771820	888435	1.6364e+06
P08779;P02533;P13646	K1C13_HUMAN;K1C14_HUMAN;K1C16_HUMAN	KRT13;KRT14;KRT16	Keratin, type I cytoskeletal 14			25959.4		8671.94	16580.8
P08779;P02533;P13646;P19012	K1C13_HUMAN;K1C14_HUMAN;K1C15_HUMAN;K1C16_HUMAN	KRT13;KRT14;KRT15;KRT16	Keratin, type I cytoskeletal 14	272112	1.36997e+06	2.65052e+06	986142	1.45093e+06	2.05284e+06
P08779;P08727	K1C16_HUMAN;K1C19_HUMAN	KRT16;KRT19	Keratin, type I cytoskeletal 19		8775.96	37968.1	12560.7	6670.84	31576.7
P08779;Q04695;P02533	K1C14_HUMAN;K1C16_HUMAN;K1C17_HUMAN	KRT14;KRT16;KRT17	Keratin, type I cytoskeletal 14	33921.6	520953	936991	252984	749366	622752
P08779;Q04695;P02533;P13646;P19012	K1C13_HUMAN;K1C14_HUMAN;K1C15_HUMAN;K1C16_HUMAN;K1C17_HUMAN	KRT13;KRT14;KRT15;KRT16;KRT17	Keratin, type I cytoskeletal 14	159054	513478	1.43602e+06	375225	836974	998439
P08779;Q04695;P02533;P13646;P19012;P08727	K1C13_HUMAN;K1C14_HUMAN;K1C15_HUMAN;K1C16_HUMAN;K1C17_HUMAN;K1C19_HUMAN	KRT13;KRT14;KRT15;KRT16;KRT17;KRT19	Keratin, type I cytoskeletal 14	285107	1.19521e+06	2.16316e+06	942482	1.72998e+06	2.67083e+06
P08779;Q04695;P02533;P19012;P08727	K1C14_HUMAN;K1C15_HUMAN;K1C16_HUMAN;K1C17_HUMAN;K1C19_HUMAN	KRT14;KRT15;KRT16;KRT17;KRT19	Keratin, type I cytoskeletal 14	74252.6	989833	1.67595e+06	811200	1.27859e+06	2.05631e+06
P09211	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P	8156.98	3751.97	6674.78	7549.76	8252.33	6518.23
P09382	LEG1_HUMAN	LGALS1	Galectin-1	63845.1	30942.4	56142.3	34469	88678.7	12103.5
P09493	TPM1_HUMAN	TPM1	Tropomyosin alpha-1 chain	73248.4	23648.7	66833	63969.3	73999.1	33211.6
P09493;P06753	TPM1_HUMAN;TPM3_HUMAN	TPM1;TPM3	Tropomyosin alpha-3 chain	31917.2	9306.34	28000.8	33159.8	45542.7	18292.2
P09497	CLCB_HUMAN	CLTB	Clathrin light chain B	4862.55			5317.53	4816.84	
P09525	ANXA4_HUMAN	ANXA4	Annexin A4	33163.8	13133.7	31232.2	24044.1	46274.6	11249.5
P09619;P27361;P17948;P28482	MK01_HUMAN;MK03_HUMAN;PGFRB_HUMAN;VGFR1_HUMAN	FLT1;MAPK1;MAPK3;PDGFRB	Platelet-derived growth factor receptor beta	4890.11		3052.9		4840.82	
P09668	CATH_HUMAN	CTSH	Pro-cathepsin H			5317.95	5594.2	1230.23	7199.43
P09848	LPH_HUMAN	LCT	Lactase/phlorizin hydrolase		3294.73				
P0C0L5	CO4B_HUMAN	C4B_2	Complement C4-B			8253.84	4807.72	18651.3	
P0C0L5;P0C0L4	CO4A_HUMAN;CO4B_HUMAN	C4A;C4B_2	Complement C4-A	19661.6	7403.93	22568.8	18920.6	25846	4713.56
P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1	H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2AJ_HUMAN	H2AC12;H2AC14;H2AC17;H2AC19;H2AC20;H2AC7;H2AJ	Histone H2A type 1	10416.3		6417.82	10651.8	8554.51	
P0CG47;P0CG48;P62979;P62987	RL40_HUMAN;RS27A_HUMAN;UBB_HUMAN;UBC_HUMAN	RPS27A;UBA52;UBB;UBC	Polyubiquitin-B	203374	294930	369757	255852	276896	310431
P0DJI8;P0DJI9	SAA1_HUMAN;SAA2_HUMAN	SAA1;SAA2	Serum amyloid A-1 protein		6163.25	4430.82	6140.05	3414.79	
P0DMV8;P0DMV9	HS71A_HUMAN;HS71B_HUMAN	HSPA1A;HSPA1B	Heat shock 70 kDa protein 1A	56948.3	21484.1	20233.7	31437.6	35645.6	38430.4
P0DOY2;P0DOY3	IGLC2_HUMAN;IGLC3_HUMAN	IGLC2;IGLC3	Immunoglobulin lambda constant 2	10337.4	42491.7	30930.5	43153.9	26035	18610.6
P0DOY2;P0DOY3;B9A064;P0CG04	IGLC1_HUMAN;IGLC2_HUMAN;IGLC3_HUMAN;IGLL5_HUMAN	IGLC1;IGLC2;IGLC3;IGLL5	Immunoglobulin lambda-like polypeptide 5	4942.68	27317	17534.6	9067.99	15191	5581.73
P0DP23;P0DP24;P0DP25	CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN	CALM1;CALM2;CALM3	Calmodulin-1	9732.09	3650.73		5758.74		
P0DP57	SLUR2_HUMAN	SLURP2	Secreted Ly-6/uPAR domain-containing protein 2		2513.07	3990.51		2741.42	4195.09
P0DPA2	VSIG8_HUMAN	VSIG8	V-set and immunoglobulin domain-containing protein 8		7809.44	5913.32	8028.59		4236.06
P0DTE7;P0DTE8;P0DUB6	AMY1A_HUMAN;AMY1B_HUMAN;AMY1C_HUMAN	AMY1A;AMY1B;AMY1C	Alpha-amylase 1B		18401.4	9884.65	12925.8	5603.08	3317.05
P10155	RO60_HUMAN	RO60	RNA-binding protein RO60		3620.23	2452.94	2169.8	2635.36	6887.01
P10163;Q04118	PRB3_HUMAN;PRB4_HUMAN	PRB3;PRB4	Basic salivary proline-rich protein 4		4186.36	4922.16	2888.22	1428.58	
P10253	LYAG_HUMAN	GAA	Lysosomal alpha-glucosidase	999.176	3859.26			2303.24	5743.56
P10301	RRAS_HUMAN	RRAS	Ras-related protein R-Ras	18902.6		12029	12797.3	15850	7479.02
P10301;P62070	RRAS2_HUMAN;RRAS_HUMAN	RRAS;RRAS2	Ras-related protein R-Ras	23174.3		16860.7	20468.1	24095.7	10285.9
P10321	HLAC_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain	1457.89		3382.31		5197.77	
P10412	H14_HUMAN	H1-4	Histone H1.4	2402.24					
P10412;P16402;P16403	H12_HUMAN;H13_HUMAN;H14_HUMAN	H1-2;H1-3;H1-4	Histone H1.4	197381	21820.2	109386	242599	194196	50104.8
P10412;P16402;P16403;P16401	H12_HUMAN;H13_HUMAN;H14_HUMAN;H15_HUMAN	H1-2;H1-3;H1-4;H1-5	Histone H1.4	14460.3					
P10451	OSTP_HUMAN	SPP1	Osteopontin				35596.4		
P10599	THIO_HUMAN	TXN	Thioredoxin	50099.1	157759	197268	148361	75234.6	186661
P10619	PPGB_HUMAN	CTSA	Lysosomal protective protein	3704.14	8200.42	4051.49	4447.19	5731.34	14321.8
P10643	CO7_HUMAN	C7	Complement component C7	6643.41		618.367			
P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	7280.24	2541.51	4315.92	6658.85	3990.35	
P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	10525.3	19137.4	18712.3	25730.2	20145.5	18432.8
P10909	CLUS_HUMAN	CLU	Clusterin	105532	8825.61	64614.4	19695.3	73820.6	15183.5
P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	7807.17	22371.7	19203.9	26454.2	22569.7	28282.2
P11021;P11142;P54652	BIP_HUMAN;HSP72_HUMAN;HSP7C_HUMAN	HSPA2;HSPA5;HSPA8	Endoplasmic reticulum chaperone BiP	6859.76	7022.65	6890.09	10486.7	5785.02	5789.48
P11021;P11142;P54652;P0DMV8;P0DMV9	BIP_HUMAN;HS71A_HUMAN;HS71B_HUMAN;HSP72_HUMAN;HSP7C_HUMAN	HSPA1A;HSPA1B;HSPA2;HSPA5;HSPA8	Heat shock 70 kDa protein 1A	44336.4	39433.5	62383.8	83726.9	53374.7	43662.3
P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1	96627.2	8079.15	46419.5	42099.1	57574.1	28325.3
P11047;Q9Y6N6	LAMC1_HUMAN;LAMC3_HUMAN	LAMC1;LAMC3	Laminin subunit gamma-1	5336.71					
P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	14720.3	19808.4	25277.4	39299.6	26144.8	14977.4
P11142;P54652	HSP72_HUMAN;HSP7C_HUMAN	HSPA2;HSPA8	Heat shock cognate 71 kDa protein	10645.9	11392.8	14570.6	19400.9	15999.2	11519.3
P11142;P54652;P0DMV8;P0DMV9	HS71A_HUMAN;HS71B_HUMAN;HSP72_HUMAN;HSP7C_HUMAN	HSPA1A;HSPA1B;HSPA2;HSPA8	Heat shock 70 kDa protein 1A	114566	24346.4	64869.6	97752.7	93014.7	102355
