Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Perdu-Alloy Pauline\organoides fixes\TU014848CK_Slot1-01_1_3103.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014849CK_Slot1-02_1_3104.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014850CK_Slot1-03_1_3105.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014851CK_Slot1-04_1_3106.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014852CK_Slot1-05_1_3107.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014853CK_Slot1-06_1_3108.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014854CK_Slot1-07_1_3109.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014855CK_Slot1-08_1_3110.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014856CK_Slot1-09_1_3111.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014857CK_Slot1-10_1_3112.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014858CK_Slot1-11_1_3113.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014859CK_Slot1-12_1_3114.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014861CK_Slot1-25_1_3116.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014862CK_Slot1-26_1_3117.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014863CK_Slot1-27_1_3118.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014864CK_Slot1-28_1_3119.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014865CK_Slot1-29_1_3120.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014866CK_Slot1-30_1_3121.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014867CK_Slot1-31_1_3122.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014868CK_Slot1-32_1_3123.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014869CK_Slot1-33_1_3124.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014870CK_Slot1-34_1_3125.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014871CK_Slot1-35_1_3126.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014872CK_Slot1-36_1_3127.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014874CK_Slot1-13_1_3129.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014875CK_Slot1-14_1_3131.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014876CK_Slot1-15_1_3132.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014877CK_Slot1-16_1_3133.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014878CK_Slot1-17_1_3134.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014879CK_Slot1-18_1_3135.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014880CK_Slot1-19_1_3136.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014881CK_Slot1-20_1_3137.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014882CK_Slot1-21_1_3138.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014883CK_Slot1-22_1_3139.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014884CK_Slot1-39_1_3140.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014885CK_Slot1-40_1_3141.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014886CK_Slot1-41_1_3142.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014887CK_Slot1-42_1_3143.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014888CK_Slot1-43_1_3144.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014889CK_Slot1-44_1_3145.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014890CK_Slot1-45_1_3146.d
P11142	P11142;P54652	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	7028.88	4289.38	7281.67	6551.17	6425.17	6580.32	6899.95	6927.01	6776.43	7496.99	6689.99	8093.13	7623.45	5917.05	5988.69	6198.01	6274.02	5500.86	5432.74	6950.8	6562.22	6095.39	7679.88	7870.56		3786.45	8533.72	7285.18	7086.69	9748.88	6898.37	9154.76	9304.52	9832.91	7672.46	9679.54	6582.54	8360.75	8885.76	8548.52	8089.62
P11279	P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1		712.84		861.38	926.783	550.75				606.955			560.708	1500.68	412.757			1096.63	1038.89	1143.35			852.273																		
P11413	P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	8239.39	1338.17	7152.68	6723.78	7513.43	6011.43	7964.73	6957.43	7056.39	6741	4947.72	9348.6	5216.79	4186.27	5343.6	3278.78	6449.54	1567.33	4240.15	4135.45	4295.89	4102.74	3430.15	5177.43		6880.49	10337.4	4829.38	8663.97	11310.9	8326.39	9070.95	8563.96	11451.9	5322.08	7885.11	3374.31	5624.67	5701.14	6638.39	5635.47
P11498	P11498	PYC_HUMAN	PC	Pyruvate carboxylase, mitochondrial	3828.89		3622.85	3091.51	2486.97	3697.72	2730.07	2969.2	3326.53	3033.37	3651.18	4799.54	2710.93	2173.37	2139.64	1643.08	3804.28	1564.14	1986.78	2094.61	1475.8	1620.28		2342.81		1187.96	3533.8	902.409	3095.46	3685.18	1716.01	3103.89	2444.9	3941.91	2030.69	2179.73	2326.03	1910.96	2328.67	2399.45	2335.25
P11940	P11940;Q4VXU2	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	1226.05	1334.52	971.375	1377.92	509.964	572.038	867.941				867.53		1442.01	985.646	1286.62	463.5	807.552	1008.07	916.768	1044.16	472.936	691.68	1412.06	1243.22						1716.24			4320.8	6885.48		4076.03	5837.46	4558.69	5480.07	6596.47	5056.1
P12081	P12081;P49590	SYHC_HUMAN	HARS	Histidine--tRNA ligase, cytoplasmic	1419.71	1299.53						843.264	1437.19	804.856	2226.28		1200.71	572.366	1045.24	1249.85	1779.7	2353.42	914.803	1387.05	1364.89	1147.34	1127.51	1510.83		2414.3		3221.69	2804.43				3083.91		3780.32			1381.44		2380.05	
P12268	P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2		346.917				808.249							908.553	648.896		541.227					1215.6			644.198																	
P12273	P12273	PIP_HUMAN	PIP	Prolactin-inducible protein	15891.9	7373.09	23501.4	16034	18029.4	17940.5	19727.5	30778.5	31940.4	25582.1	28437.6	31680.2	21498.8	18840.2	22657.9	14917.8	18068.5	20893.1	16520.6	24271.4	20081.7	17319.4	13049.6	15707.3		9141.65	13443.9	9500.32	9304.31	11382.9	10255.4	9546.12	9261.67	10785.5	9148.35	7313.82	7458.64	7444.63	7971.8	8074.18	8194.83
P12277	P12277	KCRB_HUMAN	CKB	Creatine kinase B-type		484.215									442.223		219.716					189.397						247.698				2044.19													
P12532	P12532	KCRU_HUMAN	CKMT1A	Creatine kinase U-type, mitochondrial	991.057	1322.75	1235.3	1687.75	1477.54	1495.21		1061.89			1450.26		1026.07		1513.05	1213.77	1269.09	852.028	1292.64	399.444	1236.41	812.622	1953.36	1062.83		1240.36		1013.68													2121.07
P12956	P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	1847.01	600.847	1724.76	1309.08	1352.09	1800.37	1309.84	1399.72		1423.66	1140.85	990.054	1240.46	1456.02	1824.64	1327.76	2565.49	864.66	1570.87	1487.87	1441.35	1431.14	1864.71	1619.8		1820	2208.43	1588.86	2300.52	2378.84	2282.87	2409.87	2304.9	2505.45	2317.22	3093.71	2941.36	2644.58	2530.89	2410.68	2478.8
P13010	P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	1782.45	475.128	872.932	1640.75	987.225	1367.13	1628.66	1677.03	1595.48	1255.91	2188.8		1355.19	1581.46	1313.89	1726.37	1114.65	925.633	1070.85	963.573	927.309	1174.78	1440.56	1993.09								209.265	327.181						290.097		
P13489	P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	1145.51	511.411											456.259					208.018		735.763			527.248																		
P13639	P13639	EF2_HUMAN	EEF2	Elongation factor 2	6317.05	6156.08	5651.93	5149.06	5915.15	6092.77	6625.93	6349.86	4969.25	6250.9	6314.1	5636.73	10584	7619.13	8969.35	7678.24	6787.36	7953.94	7101.03	8354.53	8052.35	8084.46	9246.48	9366.06		5825.91	7475.05	6242.8	6474.94	7696.52	8541.21	7857.05	8600.36	7185.66	11139.9	9179.62	10193.5	8230.4	9176.22	8857.5	9153.24
P13645	P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	543077	336983	664852	884964	957298	684971	590598	560226	620362	622074	590823	636439	580778	975337	669945	957177	849658	1.02301e+06	648301	659846	760919	738743	812592	559429		834007	606280	995315	972093	676509	576186	568963	565696	529903	864084	401328	411289	358144	361792	396403	431390
P13647	P13647	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	95012.8	294024	109507	127132	143341	114198	91060.4	92647.1	92076.6	101008	98021.5	102125	143963	145836	113914	217244	105922	384327	113346	110156	156353	115380	144830	100655		142485	79268.9	371055	95299	74122.3	86527.9	69479.2	80190.3	77440	134842	71269.5	66338.5	65418.1	63623.5	90390.8	94710.1
P13667	P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	9596.12	5262.37	8668.91	21506.1	18211.4	21487.5	28671.4	8519.92	3599.74	20290.3	21777.7	6599.27	18201.7	26597.8	18866.5	16193.2	13520.3	14221.1	21583.2	21140.5	23750.5	19005.7	8388.15	14496.1		2375.99	7824.71	3068.34	11199.7	4314.37	9474.03	11047.4	6421.35	4727.99	4323.21	8082.88		7721.24	9238.12	9824.56	7705.73
P13693	P13693	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein		829.229					668.91						855.255							989.996		587.385		837.258																	
P13797	P13796;P13797	PLST_HUMAN	PLS3	Plastin-3	1460.97	1254.21	1535.69	1085.02			2035.92						973.376		653.145	843.479		1827.78			640.911	606.528	840.353																2396.39		2928.42
P13798	P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme		959.186		1044.27	860.079											1030.83		1281.51	533.771	426.901	1222.61	1232.72	556.152			2044.59		2218.15	2017.6			1323.31			1452.7						
P13804	P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	2051.39	177.21	1280.93	765.131	1446.22	1423.36	1334.95	1189.89	1604.02	1325.37	1028.42	1307.26	868.188	1448.6	1324.22	1473.36	1684.29	2466.85	954.459	1180.72	1801.73	1504.88	1029.13	2443.74		2375.2	3677.55	2703.05	2239.06					1685.95				1409.18	1427.88	1816.91	
P13928;Q5VT79	P13928;Q5VT79	ANXA8_HUMAN;AXA81_HUMAN	ANXA8;ANXA8L1	Annexin A8		898.453											777.253										1706.32												998.939						
P14618	P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	59717.5	20392.9	48753.5	50197.3	48122.7	50220.8	52687.8	52910.8	23652	56015.9	46911.7	37182.2	55164.6	56283.1	58644	47623.6	56372.1	45044.7	58237.2	61561.2	55417.3	53071.9	47269.7	62954		26294	29636.8	29729.4	28237.1	31585.4	35181.9	33965.3	33285.9	34993.1	35002.8	41174.1	33875.4	38286.5	39787.9	39309.4	38824.4
P14625	P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	2643.68	1435.18	2506.35	2945.14	2342.4	2376.93	2463.48	1887.93	1677.75	2826.37	2913.79	2291.44	3004.81	2222.58	2905.8	1985.62	2531.24	1839.26	2112.22	3020.54	2555.32	1982.63	2317.93	3001.41		2789.27	3466.67	2789.54	3827.78	3704.35	3120.3	3437.16	3758.74	3105.12	4101.15	3548.89	4368.62	3634.03	3572.19	4273.93	4304.18
P14678;P63162	P14678;P63162	RSMB_HUMAN;RSMN_HUMAN	SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B'	1605.51	1079.25	1948.82	751.017	869.889	817.032	665.177	858.459	1320.84	1246.56	757.154	1284.11	685.503	1474.9	925.754	1123.49	840.671	918.516	560.359	1370.27	1101.86	1275.13	1789.06																		
P14735	P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	1199.42	5118.23	1480.21	728.215	1759.48	953.983		1954.02		1029.47	3104.04		1566.93	5166.91		3976.86	994.413	1486.23	1737.32	1021.15	699.255	1073.54	2270.26			4071.79	3854.17	4379.21	2406.67	8700.13		3331.48	4461.74		9187.06	4226.82				2472.46	2077.69
P14868	P14868	SYDC_HUMAN	DARS	Aspartate--tRNA ligase, cytoplasmic	874.987	342.007		749.594	1285.84		706.165			643.058			700.619			702.104	667.45		243.562	705.017	690.913	439.467	763.668	403.045				1205			1152.88			1422.54	1447.93			1312.79	1185.47	1036.17	1036.45
P14923	P14923	PLAK_HUMAN	JUP	Junction plakoglobin	3664.78	33000.8	4920.12	3922.14	29598.1	3773.73	3495.67	5642	4247.69	3480.71	3918.38	4201.94	5157.56	3911.26	5102.59	18637.6	3820.02	21149.3	4268.16	4749.29	13859.9	4042.33	10054.2	3676		13027.9	18431.4	27445.8	10230.3	7883.17	5063.34	5946.46	9392.28	5400.97	25120	4655.8	4254.21	4778.78	4184.49	7612.59	7087.26
P15104	P15104	GLNA_HUMAN	GLUL	Glutamine synthetase		17496.9	1333.06	1003.84	3535.76					1019.33		892.746	3710.65			11409.9	684.168		831.258		2142.85	1243.16	2590.63	1167.02		2771.51	3406.38	2404.75	3997.34				2543.68		8892.99					3675.54	7141.4
P15170	P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A		253.923								146.928			262.765	285.955	130.865						286.248														308.975						
P15309	P15309	PPAP_HUMAN	ACPP	Prostatic acid phosphatase		602.918					220.302					2198.86				1393.24	796.793																								
P15311	P15311;P26038;P35241	EZRI_HUMAN	EZR	Ezrin	2635.86	2277.19	1777.04	1866.23	1683.72	1988.96	2444.4	2085.49	1745.36	1934.09	1756.14	2438.2	2879.92	2189.37	2349.12	1880.43	2224.65	1653.12	2005.65	2448.45	2361.12	2205.55	3300.36	3113.04		2862.26	2743.48	3130.92	3823.74	3258.41	3106.25	3870.92	4611.4	3905.7	3976.5	3422.31	4361.41	3912.73	3466.74	3692.62	4370.31
P15531;P22392	O60361;P15531;P22392	NDKA_HUMAN;NDKB_HUMAN	NME1;NME2	Nucleoside diphosphate kinase A	1436.72	1059.94	1977.54	1610.98	1374.52	1564.49	1016.29	1463.67	1554.38	1746.97	2122.38	1180.06	2000.31	1038.2	1857.43	1089.73	1912.1	1642.52	1747.79	1517.02	1719.49	1450.81	2010.61	1619.98		2012.11	1933.53	2104.69	2830.53		2375.88	1657.08	4080.62		2206.04	2439.2		2239.83	1885.8	2933.29	2606.72
P15880	P15880	RS2_HUMAN	RPS2	40S ribosomal protein S2	1352.01	2008.63	1210.65	1989.02	1470.31	1699.26	1719.24	1420.81	827.494	1803.07	1588.42	1700.1	3568.26	2061.25	1503.07	1644.12	1698.93	1228.03	1040.04	2031.5	1231.72	2357.92	2668.41	2161.91		1663.57	2638.35	1969.78	2555.43	1978.06	2587.45	1821.95	2391.32	2642.21	2506.79	2786.33	2881.62	2533.13	2546.37	2692.59	2605.94
P15924	P15924	DESP_HUMAN	DSP	Desmoplakin	7191.66	42926.9	8087.3	7538.45	38874.6	7515.24	7190.34	9122.81	7097.8	7135.78	6721.18	7877.22	9349.11	8422.35	7495.83	29000.2	6877.72	26952.2	7644.69	7246.82	11890.8	7246.91	20118.8	7351.79		17215.1	16620.5	27808.5	11928.6	12015.3	9224.29	9454.26	11094.9	8974.29	31287.1	8868.56	7862.91	8330.85	8139.9	10816.7	10687.3
P16152	P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1	638.89	1326.05	1701.43	826.342	763.184	873.54	1105.99			893.206			829.992		812.772	1291.31	464.691	802.173	718.543	1073.84	597.375	636.199	1495.51	536.508																	
P16401	P16401	H15_HUMAN	HIST1H1B	Histone H1.5	7431.9	2640.22	3683.45	3760.24	4816.5	4782.81	3656.69	6979.31	6424.73	5609.64	9815.67	4497.69	9086.37	5947.7	7038.36	5301.48	12003.2	7259.46	10328.7	11926.3	5455.65	11061.1	6405.51	13853.3		3591.07	5752.84	4777.26	4692.32	5109.69	6898.45	5699.09	6700.78	5770.27	4605.95	5540.7	6941.38	8467.99	5042.85	5860.71	4609.64
P16949	P16949	STMN1_HUMAN	STMN1	Stathmin	6580.52	1169.3	7237.72	4795.13	5030.33	4787.98	5192.31	7724.19		5368.97	4045.32	9423.23	4245.49	3458.35	5197.22	4582.94	5761.44	2436.45	4052.05	4736.65	4008.88	5580.27	4692.2	8200.5		3356.95	4995.92	2968.09	4231.23	5139.79	4119.19	4815.22	4608.38	5631.3	5006.63	5011.4	4119.56	5158.78	6344.29	4851.69	4333.56
P16989;P67809;Q9Y2T7	P16989;P67809;Q9Y2T7	YBOX1_HUMAN;YBOX2_HUMAN;YBOX3_HUMAN	YBX1;YBX2;YBX3	Y-box-binding protein 3	2312.22	815.462			1586.82	1600.06		2344.16	1896.15	1982.36	2253.9		2218.87	1784.93	1835.44	454.528		1782.35	2092.22		1889.59			1666.56																	
P17174	P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic		515.097		680.893	895.878		1482.16						767.11					726.198								2073.82									1269.76				2154.18		
P17612	P17612	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha		247.025					163.59						193.349	190.351									186.206																	667.132	
P17844	P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	3433.78	1003.96	3591.11	3378.77	2810.36	3208.89	2686.36	2433.25	1999.71	2567.81	3230.54	2621.85	1979.03	2749.28	2568.45	2851.58	1843.11	1852.85	2883.83	2860.52	1775.66	1794.65	2595.03	2762.66		1219.16	2165.62	970.694	2360.85	2017.36	2437.48	2043.35	1904.13	2591.38	2774.39	2616.03	4043.95	3091.85	3144.06	3267.37	3284.6
P17858	P08237;P17858	PFKAL_HUMAN	PFKL	ATP-dependent 6-phosphofructokinase, liver type	2240.54	1735.34	2024.63	2694.76	1634	2389.63	3739.15	3175.92	1028.18	1781.77	2478.77	2495.37	3335.47	2470.55	2876.44	2685.49	2967.95	1782.97	2924.62	3021.99	2774.75	3134.35	2376.1	3963.25		3588.37	4971.29	4436.32	4715.8	5962.64	4809.61	5282.47	4660.09	5408.78	6179.7	5814.98	5679.17	6256.03	5815.4	5854.7	5384.93
P17900	P17900	SAP3_HUMAN	GM2A	Ganglioside GM2 activator	2335.1	2041.97	2822.07	2808.59	3142.16	2805.77	3165.59	2910.7	4684.93	3401.45	3652.99	2102.33	2315.14	2721.28	2935.91	3626.08	2428.87	1757.6	3238.78	2074.6	1858.72	2554.73	2429.61	2743.63		3233.48	2633.4	2177.06	2508.91	2499.04		4150.55	2029.47	3290.07	2615.93	3174.85		1599.27	1456.99		
P17931	P17931	LEG3_HUMAN	LGALS3	Galectin-3		918.702				625.17		247.768					905.203		422.898	693.49		1125.37		560.702			1437.86												2184.84						
P17980	P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	1756.45	643.298	1406.99	1096.35	2335.33	1251.66	1007.59			1433.28	1223.38	2692.97		1009.73	1559.18	1122.87		742.786	1416.83	1208.22	849.188	737.344	1186.08	1500.01		1406.06	2393.82	1149.38	1613.24	1855.15	1247.75	1668.17	1699.63	2109.12	2156.06	2100.66	1639.26	1225.84	1150.81	1242.11	1317.92
P17987	P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha	1364.05	503.321	1775.63	1352.05	1634.04	1605.57	1501.26	1206.46		1277.02	1353.74	1456.88	1261.24	1029.39	1376.31	1240.12	1610.85	620.429	1389.25	1368.57	1406.48	1198.13	1584.78	1774.45		1568.96	1868.43	1465.21	1599.97	2299.46	1731.34	1928.07	1876	2254.65	1676.13	1954.29	2340.3	2406.29	2471.4	2538.37	2012.54
P18077	P18077	RL35A_HUMAN	RPL35A	60S ribosomal protein L35a		349.023											390.578											592.094																	
P18124	P18124	RL7_HUMAN	RPL7	60S ribosomal protein L7	900.514	701.772	808.627	852.593	904.964	510.626		894.32		702.001	1308.4	1025.68	1356.83	481.704	1207.09	610.384	1552.58	532.75	924.466	1048.9		612.018	1382.9	2345.87		1326.84	1772.7	1390.07	1465.97	1849.04	1291.74	1674.83	1181.93	1540.19	1153.73	1616.73	2403.42	1693.59	1377.32	1272.69	1743.98
P18206	P18206	VINC_HUMAN	VCL	Vinculin	1307.63	938.566	1821.6	1549.78	1806.33	1646.69	1369.63	1805.65	699.122	1417.99	1921.84	1408.61	1105.29	1751.7	1431.26	1942.17	1623.82	1820.32	1454.58	1448.7	1445.58	1167.31	1300.28	1545.32		2178.38	2295.26	1997.69	2485.6	2454.4	2500	2834.91	2640.36	2424.03	2147.88	2605.73	2564.56	2252.04	2151.21	2617.38	1977.82
P18510	P18510	IL1RA_HUMAN	IL1RN	Interleukin-1 receptor antagonist protein		474.756					635.119				698.113					1266.99																									
P18669	P15259;P18669	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1		910.881		368.323			474.416	473.896						215.939	270.752	215.835			2348.96	1793.47			620.639	1138.43																	
P19012	P13646;P19012	K1C15_HUMAN	KRT15	Keratin, type I cytoskeletal 15	4671.12	3484.22	6287.19	6934.93	6996.23	4754.5	4838.19	6516.71	5375.88	5312.31	6551.77	5589.16	5265.73	8442.69	5615.88	6925.82	6672.24	8740.42	5810.82	6348.33	8273.9	6224.37	7320.7	4925.73		1585.04									2679.83	4565.93	5713.25			2501.32	1707.25
P19338	P19338	NUCL_HUMAN	NCL	Nucleolin	4897.4	1344.61	3851.53	3807.45	3801.46	3540.36	4006.45	3696.13	2870.91	4167.81	4116.14	4431.66	4153.65	4274.73	4549.83	3023.15	4308.88	3199.99	4853.04	3454.32	3888.16	3950.49	3614.81	6325.5		4590.16	5427.29	4630.58	4991.11	5007.14	5709.46	5625.17	5940.33	5596.37	4040.87	6995.51	6107.32	6083.31	5828.47	5681.16	5762.17
P19971	P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase		1162.02	1628.59							1658.35			1733.26			1319.99							1323.22												2377.04						2735.53
P20073	P20073	ANXA7_HUMAN	ANXA7	Annexin A7		722.301		525.132	977.795	627.988		1099.6			803.37			637.672	541.748	648.232	1152.52	1015.52	626.813	669.883	596.448	774.227	985.828	746.224		1264.72	1280.7	944.975	1240.76		1054.88				1497.73			988.637		821.722	840.862
P20290	P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	1001.57	370.181	658.43					1210.48				975.258	711.487			1208.31	302.107	643.467	715.324	807.249	1784.6		703.365																		
P20339	P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	861.152	1744.26	1952.18		2080.56			642.564					1163.24	908.442	1226.81	2119.25		1372.48	2070.72	1665.48	1236.58	1204.14	1551.9												2604.08	1804.66					2163.07
P20618	P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1		2605.39	2666.47	2216.12	2273.94	1957.46	2714.69	1942.37		2106.57	1651.17		2011.21	2479.38	1960.98	2992.03	2663.53	4646.05	2534.99	2211.89	1856	2471.31	3413.12	3377.63		12017.1			14161.9			15528.2	15762.2	15758.4	8315.31					11978.9	
P20700	P20700;Q03252	LMNB1_HUMAN	LMNB1	Lamin-B1	695.644	665.493		713.411	436.309					198.776	1633.26	1354.61	1581.83	1494.33		755.021	617.923	894.063	1025.61	2025.68	1083.95	1097.74	895.169	2028.12			1511.23	2258.6	938.279	1830.82	2472.25		2602.38		781.04	1037		2374.47	2507.09	2642.7	3015.34
P20930	P20930	FILA_HUMAN	FLG	Filaggrin	6217.25	6637.17	9417.48	6819.55	6625.74	6364.83	5885.17	10074.4	6069.78	7663.1	7461.38	6068.23	8468.33	7061.74	8735.68	8610.7	5564.73	18949.7	6918.13	6859.27	6754.33	6765.14	9816.13	5450.07		12931.2		11582.8	9269.8		9568.77				14127.7						
P21266	P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3		1164.69											1763.19											1762.99																	
P21281	P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform		607.561	1201.41	549.403	964.475	1241.39	957.447	975.36		914.856			716.661	266.632	1270.82	974.055	709.653			1295.71		370.694																			
P21333	P21333	FLNA_HUMAN	FLNA	Filamin-A	3022.65	869.852	2150.53	2046.83	2267.11	2557.95	2181.8	2589.33	1789.06	2492.2	2510.25	2117.4	2012.35	2053.01	2146.7	1742.15	2142.17	1596.87	2134.18	2115.09	2438.18	2112.41	1949.38	2495.2		3567.66	4445	4077.28	4198.34	4030.79	4449.27	3879.41	3773.09	4502.14	3571.4	4046.42	1912.57	3801.67	3888.28	4385.92	3967.69
P21796	P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	1944.29	2161.72	1131.42	758.029	418.341		2767	630.656		419.539	1250.3		693.7	598.293	973.504	1411.89	732.177	686.771	526.707	1027.52	706.33	721.243	1105.29	811.483			1807.71	1872.58	1657.24	1469.29	1259.89	1404.99	1376.84	1516.71	2198	1272.82	1704.19	1451.19	1481.8	1366.9	1666.31
P22234	P22234	PUR6_HUMAN	PAICS	Multifunctional protein ADE2		996.912	2757.51		1519.24	705.25							1483.7	1575.73		1372.49	1540.24	1800.09	1582.84	1183	1901.19	960.075	1545.56	1220.4		2542.37	3042.68	2606.51	3615.38	2817.2	2776.78				2386.54			2550.27		2843.27	2677
P22314	P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	2027.91	839.72	2226.62	2045.25	1548.47	2287.4	2733.27	1775.42	2518.41	2440.78	2083.41	2437.13	2053.7	1925.06	2101.29	1962.2	1742.1	1604.65	2303.91	2368.34	2102.16	1862.37	1973.21	3462.96		2839.32	3535.06	2680.59	3078.76	4027.87	3553.58	3568.34	3860.83	3666.65	3343.14	4030.04	3317.72	3904.72	3610.43	3882.51	4068.16
P22626	P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	12399.9	3389.59	9829.48	9892.48	9672.9	9168.49	9562.27	9728.78	10969.4	9094.56	9888.73	8266.76	7537.7	9636.72	9006.35	6880.66	7489.93	7358.84	7433.04	8501.7	6695.58	7516.33	7060.84	12140.7		7004.89	9993.44	6432.33	9948.66	9390.45	8636.21	10195.7	9885.17	9471.25	7286.05	13593.6	13126.8	6564.97	8087.92	7977.9	7403.57
P22735	P22735	TGM1_HUMAN	TGM1	Protein-glutamine gamma-glutamyltransferase K	1432.63	3003.21	2258.77	3483.24	2533.46	1883.39	1059.54	1689.46	1273.41	1640.35	1133.56	1835.72	2472.6	2852.23	1599.52	4002.45	2462.89	5356.33	3410.82	1293.56	2730.84	2672.06	3793.04	1597.36		5816.58	4736.98	6454.43	6056.2	3695.49	4330.34	3500.52	3833.03	3348.61	6030.68	3114.07	3191.73	3028.71	2791.71	4429.04	5502.32
P22760	P22760	AAAD_HUMAN	AADAC	Arylacetamide deacetylase		268.968																																							
P23246	P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	3892.69	1006.98	3752.03	2886.57	2823.24	2633.51	2799.05	3678.57	4954.57	2168.04	3322.2	3335.58	3770.68	2464.49	2215.16	1938.96	1698.23	1543.83	1856.02	2245.68	2698.11	3003.93	2485	3358.68		3106.66	4672.19		3956.62	4251.91	3582.8	3834.96	4323.74	4323.56	2697.63	5657.6		4021.52	3591.75	4387.6	3748.21
